이름,팀,ERA,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,FIP,WHIP,ERA+,FIP+,WAR,WPA
박세웅,22롯, 3.78 , 28 , 0 , 0 , 28 , 10 , 11 , 0 , 0 , 157.1 , 80 , 66 , 679 , 180 , 32 , 4 , 8 , 32 , 1 , 8 , 146 , 0 , 7 , 2.89 , 1.35 , 110.3 , 141.6 , 1.87 , -0.14 
곽빈,22두, 3.78 , 27 , 0 , 0 , 27 , 8 , 9 , 0 , 0 , 147.2 , 69 , 62 , 645 , 143 , 30 , 0 , 13 , 60 , 1 , 11 , 138 , 1 , 9 , 4.04 , 1.38 , 105.3 , 98.3 , 2.36 , 0.45 
양현종,22K, 3.85 , 30 , 0 , 0 , 30 , 12 , 7 , 0 , 0 , 175.1 , 86 , 75 , 743 , 170 , 33 , 3 , 14 , 50 , 1 , 3 , 141 , 0 , 3 , 3.66 , 1.26 , 105.9 , 112.1 , 1.68 , 0.27 
이의리,22K, 3.86 , 29 , 0 , 0 , 28 , 10 , 10 , 0 , 0 , 154.0 , 79 , 66 , 671 , 128 , 26 , 4 , 18 , 74 , 0 , 9 , 161 , 0 , 7 , 4.38 , 1.31 , 105.7 , 93.7 , 1.26 , -0.53 
원태인,22삼, 3.92 , 27 , 0 , 0 , 27 , 10 , 8 , 0 , 0 , 165.1 , 75 , 72 , 700 , 175 , 25 , 1 , 16 , 38 , 3 , 4 , 130 , 0 , 3 , 3.73 , 1.29 , 106.5 , 111.1 , 2.52 , 0.74 
나균안,22롯, 3.98 , 39 , 0 , 0 , 13 , 3 , 8 , 0 , 2 , 117.2 , 55 , 52 , 506 , 125 , 36 , 3 , 5 , 37 , 1 , 3 , 123 , 0 , 6 , 2.79 , 1.38 , 104.7 , 146.6 , 1.94 , -0.72 
이인복,22롯, 4.19 , 26 , 0 , 0 , 23 , 9 , 9 , 0 , 1 , 126.2 , 63 , 59 , 547 , 153 , 22 , 1 , 6 , 30 , 0 , 4 , 71 , 0 , 4 , 3.64 , 1.45 , 99.3 , 112.0 , 1.59 , 0.01 
배제성,22K, 4.21 , 24 , 0 , 0 , 18 , 3 , 9 , 0 , 0 , 107.0 , 56 , 50 , 458 , 103 , 15 , 2 , 8 , 46 , 0 , 1 , 89 , 0 , 8 , 3.96 , 1.39 , 97.9 , 102.7 , 0.80 , -0.54 
임기영,22K, 4.24 , 26 , 0 , 0 , 23 , 4 , 13 , 1 , 0 , 129.1 , 63 , 61 , 555 , 137 , 25 , 1 , 18 , 36 , 1 , 5 , 82 , 0 , 2 , 4.81 , 1.34 , 96.0 , 85.4 , 1.66 , -0.24 
애플러,22키, 4.30 , 33 , 1 , 1 , 25 , 6 , 8 , 0 , 0 , 140.1 , 69 , 67 , 622 , 172 , 34 , 1 , 13 , 40 , 1 , 6 , 86 , 0 , 4 , 4.28 , 1.51 , 93.1 , 92.3 , 1.33 , -0.24 
김민우,22한, 4.36 , 29 , 1 , 0 , 29 , 6 , 11 , 0 , 0 , 163.0 , 82 , 79 , 711 , 143 , 40 , 1 , 16 , 84 , 8 , 8 , 129 , 0 , 13 , 4.58 , 1.39 , 92.8 , 89.1 , 1.99 , 0.53 
오원석,22S, 4.50 , 31 , 0 , 0 , 24 , 6 , 8 , 0 , 0 , 144.0 , 79 , 72 , 633 , 158 , 21 , 2 , 16 , 58 , 1 , 3 , 112 , 0 , 6 , 4.48 , 1.50 , 92.5 , 93.6 , 0.70 , -0.91 
송명기,22N, 4.51 , 25 , 0 , 0 , 22 , 5 , 7 , 0 , 0 , 107.2 , 67 , 54 , 496 , 116 , 21 , 4 , 14 , 54 , 0 , 15 , 106 , 0 , 9 , 4.98 , 1.58 , 90.2 , 82.5 , -0.23 , -0.51 
데스파이네,22K, 4.53 , 30 , 0 , 0 , 29 , 8 , 12 , 0 , 0 , 163.0 , 94 , 82 , 725 , 198 , 27 , 0 , 14 , 48 , 2 , 9 , 123 , 1 , 7 , 3.96 , 1.51 , 90.9 , 102.9 , 0.99 , -1.34 
신민혁,22N, 4.56 , 26 , 0 , 0 , 23 , 4 , 9 , 0 , 0 , 118.1 , 64 , 60 , 521 , 128 , 30 , 1 , 15 , 31 , 1 , 10 , 105 , 1 , 5 , 4.23 , 1.34 , 89.2 , 97.3 , 0.48 , -0.38 
이재학,22N, 4.75 , 26 , 0 , 0 , 17 , 3 , 8 , 0 , 0 , 91.0 , 56 , 48 , 406 , 75 , 14 , 2 , 5 , 54 , 0 , 8 , 72 , 1 , 6 , 4.51 , 1.42 , 85.8 , 90.9 , -0.14 , -0.27 
한현희,22키, 4.75 , 21 , 0 , 0 , 14 , 6 , 4 , 0 , 0 , 77.2 , 44 , 41 , 346 , 83 , 20 , 1 , 9 , 24 , 0 , 8 , 59 , 0 , 2 , 4.56 , 1.38 , 84.2 , 86.1 , 0.36 , 0.24 
이영하,22두, 4.93 , 21 , 0 , 0 , 20 , 6 , 8 , 0 , 0 , 98.2 , 65 , 54 , 462 , 109 , 14 , 1 , 5 , 57 , 1 , 6 , 83 , 0 , 8 , 4.20 , 1.68 , 80.8 , 95.8 , -0.70 , -1.43 
임찬규,22L, 5.04 , 23 , 0 , 0 , 23 , 6 , 11 , 0 , 0 , 103.2 , 60 , 58 , 459 , 113 , 13 , 3 , 10 , 39 , 0 , 7 , 75 , 0 , 3 , 4.48 , 1.47 , 78.9 , 88.4 , -0.10 , -0.78 
백정현,22삼, 5.20 , 24 , 0 , 0 , 24 , 4 , 13 , 0 , 0 , 124.2 , 76 , 72 , 562 , 154 , 27 , 2 , 22 , 37 , 1 , 9 , 70 , 0 , 9 , 5.59 , 1.53 , 80.3 , 74.6 , 0.08 , -1.38 
한승혁,22K, 5.27 , 24 , 0 , 0 , 16 , 4 , 3 , 0 , 0 , 80.1 , 52 , 47 , 376 , 100 , 13 , 3 , 4 , 40 , 0 , 6 , 69 , 0 , 6 , 3.99 , 1.74 , 77.4 , 102.8 , -0.64 , -1.83 
최승용,22두, 5.30 , 48 , 0 , 0 , 15 , 3 , 7 , 0 , 5 , 93.1 , 59 , 55 , 423 , 104 , 15 , 4 , 8 , 43 , 0 , 2 , 64 , 1 , 1 , 4.53 , 1.58 , 75.0 , 87.9 , -0.10 , -0.30 
스파크맨,22롯, 5.31 , 19 , 0 , 0 , 19 , 2 , 4 , 0 , 0 , 84.2 , 55 , 50 , 386 , 97 , 14 , 1 , 6 , 43 , 1 , 4 , 89 , 0 , 5 , 3.79 , 1.65 , 78.3 , 107.8 , -0.24 , -0.88 
정찬헌,22키, 5.36 , 20 , 0 , 0 , 20 , 5 , 6 , 0 , 0 , 87.1 , 55 , 52 , 390 , 106 , 21 , 0 , 13 , 28 , 2 , 6 , 42 , 0 , 3 , 5.41 , 1.53 , 74.6 , 72.6 , -0.24 , -1.37 
이민호,22L, 5.51 , 26 , 0 , 0 , 26 , 12 , 8 , 0 , 0 , 119.1 , 77 , 73 , 540 , 146 , 23 , 5 , 14 , 43 , 0 , 7 , 73 , 0 , 9 , 4.90 , 1.58 , 72.2 , 80.5 , -0.73 , -0.90 
남지민,22한, 6.37 , 22 , 0 , 0 , 20 , 2 , 11 , 0 , 0 , 89.0 , 68 , 63 , 418 , 109 , 19 , 1 , 9 , 45 , 0 , 3 , 41 , 0 , 5 , 5.35 , 1.73 , 63.5 , 76.2 , -1.22 , -2.02 
윤대경,22한, 7.41 , 25 , 0 , 0 , 14 , 4 , 9 , 0 , 0 , 75.1 , 63 , 62 , 349 , 106 , 22 , 2 , 6 , 17 , 0 , 7 , 51 , 0 , 5 , 3.98 , 1.63 , 54.7 , 102.6 , -1.37 , -2.23 
