구장,평균 WHIP,파크팩터(단타),구장 크기
대구,1.328823529411765,982,110.5
광주,1.3630303030303033,1031,110.0
대전,1.3019444444444441,963,111.0
사직,1.276764705882353,1011,106.5
인천,1.185142857142857,1008,107.5
잠실,1.3352941176470587,993,112.5
수원,1.155151515151515,1029,107.5
창원,1.2944736842105262,988,111.0
고척,1.2443750000000002,1012,112.5
